test_id,module,scenario,test_type,environment,expected,actual,status,severity,evidence,defect_id,fix_commit,retested,notes
COD-009,COD,COD-009,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
COD-010,COD,COD-010,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
COD-011,COD,COD-011,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
COD-012,COD,COD-012,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
COD-013,COD,COD-013,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
ORD-001,ORD,ORD-001,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
ORD-002,ORD,ORD-002,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
ORD-003,ORD,ORD-003,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
ORD-004,ORD,ORD-004,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
ORD-005,ORD,ORD-005,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
ORD-006,ORD,ORD-006,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
ORD-007,ORD,ORD-007,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
ORD-008,ORD,ORD-008,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
ORD-009,ORD,ORD-009,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
ORD-010,ORD,ORD-010,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
ORD-011,ORD,ORD-011,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
ORD-012,ORD,ORD-012,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
ORD-013,ORD,ORD-013,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
ORD-014,ORD,ORD-014,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
SUP-001,SUP,SUP-001,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
SUP-002,SUP,SUP-002,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
SUP-003,SUP,SUP-003,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
SUP-004,SUP,SUP-004,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
SUP-005,SUP,SUP-005,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
SUP-006,SUP,SUP-006,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
SUP-007,SUP,SUP-007,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
SUP-008,SUP,SUP-008,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
SUP-009,SUP,SUP-009,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
SUP-010,SUP,SUP-010,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
SUP-011,SUP,SUP-011,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
SUP-012,SUP,SUP-012,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
SUP-013,SUP,SUP-013,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
SUP-014,SUP,SUP-014,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
SUP-015,SUP,SUP-015,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
SUP-016,SUP,SUP-016,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
