id,slug,name,carousel_slots
8040,sarveda-handcrafted-zen-singing-bowl,"Vibroacoustic Therapy Bowls - Universal, Belly and Head",9
50420,wind-chimes,Wind Chimes,20
50579,wooden-finger-castanet,Wooden Finger Castanet,7
50964,wooden-hand-taal-khartal,Wooden Hand Khartal/Jingles,15
6978,wooden-mallets-for-singing-bowls,Wooden Mallets for Singing Bowls,31
7542,wooden-maracas-shaker-handheld-shaker,Wooden Maracas Shakers | Plain & Dot Painted,13
48229,handcrafted-wooden-stand-for-tuning-forks,Wooden Stand for Tuning Forks,8
7478,wooden-tambourine-half-moon-2,Wooden Tambourines,13
6530,yoga-strap,Yoga Belt/Strap for Sturdy Grip,15
6668,yoga-blanket,Yoga Blanket made from Organic Cotton,8
6780,sarveda-zabuton-cushion,Zabuton Cushion for Meditation,12
7177,sarveda-zafu-zabuton-meditation-cushion-combo,Zafu & Zabuton Meditation Cushion Combo,15
9312,zafu-zabuton-meditation-cushion-combo-with-lotus-embroidery,Zafu & Zabuton Meditation Cushion Combo - Lotus Embroidery,12
9278,zafu-meditation-cushion-with-lotus-embroidery,Zafu Meditation Cushion Lotus - Embroidery Filled with Cotton,16
6711,sarveda-zafu-round,Zafu Meditation Cushion Plain Filled with Cotton,14
9763,ergonomic-meditation-bench,Zen Meditation Bench,11
