live_slug,ls_slug,score,live_name,ls_name
cotton-yoga-mat7-chakras,7-chakras-moderate-grip-yoga-mat,1.0,7 Chakras Moderate Grip Yoga Mat,7 Chakras Moderate Grip Yoga Mat
den-den-daiko-or-spin-twist-drum,spin-twist-drum-or-den-den-daiko,1.0,Spin/Twist Drum or Den Den Daiko,Spin/Twist Drum or Den Den Daiko
dumroo-medium-size,dumru-dumroo-indian-handmade-percussion-instrument,1.0,Dumru/Dumroo Indian Handmade Percussion Instrument,Dumru/Dumroo Indian Handmade Percussion Instrument
engraved-copper-water-bottles,7-chakras-copper-water-bottles,1.0,7 Chakras Copper Water Bottles,7 Chakras Copper Water Bottles
ergonomic-meditation-bench,zen-meditation-bench,1.0,Zen Meditation Bench,Zen Meditation Bench
full-moon-singing-bowls,full-moon-singing-bowls-all-sizes,1.0,Full Moon Singing Bowls &#8211; All Sizes,Full Moon Singing Bowls - All Sizes
hand-hammered-singing-bowl,dotted-singing-bowl,1.0,Dotted Singing Bowl,Dotted Singing Bowl
handcrafted-wooden-stand-for-tuning-forks,wooden-stand-for-tuning-forks,1.0,Wooden Stand for Tuning Forks,Wooden Stand for Tuning Forks
handheld-coconut-shaker,handheld-natural-coconut-shaker,1.0,Handheld Natural Coconut Shaker,Handheld Natural Coconut Shaker
handheld-kenari-seed-shell-shaker,kenari-seed-shell-shakers,1.0,Kenari Seed Shell Shakers,Kenari Seed Shell Shakers
handmade-extra-large-meridian-singing-bowls,extra-large-meridian-singing-bowls,1.0,Extra Large Meridian Singing Bowls,Extra Large Meridian Singing Bowls
handmade-singing-bowls-for-sound-therapy,handmade-singing-bowls-all-sizes,1.0,Handmade Singing Bowls &#8211; All Sizes,Handmade Singing Bowls - All Sizes
hi-zafu-meditation-cushion-filled-with-lotus-embroidery,hi-zafu-meditation-cushion-embroidered-with-lotus,1.0,Hi-Zafu Meditation Cushion &#8211; Embroidered with Lotus,Hi-Zafu Meditation Cushion - Embroidered with Lotus
jala-neti-pot,jala-neti-pot-ceramic-185-ml,1.0,Jala Neti Pot &#8211; Ceramic 185 ml,Jala Neti Pot - Ceramic 185 ml
kalimba-made-from-coconut-shell-painted-7-key,7-key-kalimba-made-from-coconut-shell-painted-plain,1.0,7-Key Kalimba Made from Coconut Shell &#8211; Painted &#038; Plain,7-Key Kalimba Made from Coconut Shell - Painted & Plain
kenari-chimes,kenari-chimes-small-large,1.0,Kenari Chimes &#8211; Small &#038; Large,Kenari Chimes - Small & Large
koshi-chimes,elemental-chimes,1.0,Elemental Chimes,Elemental Chimes
macrame-yoga-straps,macrame-yoga-mat-straps,1.0,Macrame Yoga Mat Straps,Macrame Yoga Mat Straps
mini-coconut-shaker-3-types,mini-coconut-shakers-3-types,1.0,Mini Coconut Shakers &#8211; 3 Types,Mini Coconut Shakers - 3 Types
mini-teak-wood-and-stainless-steel-xylophone,teak-wood-stainless-steel-xylophone,1.0,Teak Wood &#8211; Stainless Steel Xylophone,Teak Wood - Stainless Steel Xylophone
non-printed-copper-water-bottles,grooved-hammered-plain-copper-bottle,1.0,"Grooved, Hammered &#038; Plain Copper Bottle","Grooved, Hammered & Plain Copper Bottle"
pangi-seed-shell-shaker-rattle,pangi-seed-shell-rattle,1.0,Pangi Seed Shell Rattle,Pangi Seed Shell Rattle
plain-flat-wind-tibetan-gong-for-meditation-sound-therapy,plain-wind-tibetan-gong,1.0,Plain/Wind Tibetan Gong,Plain/Wind Tibetan Gong
printed-copper-water-bottles,artistically-designed-copper-bottles,1.0,Artistically Designed Copper Bottles,Artistically Designed Copper Bottles
rectangular-yoga-bolster-made-from-organic-cotton,rectangular-yoga-bolster,1.0,Rectangular Yoga Bolster,Rectangular Yoga Bolster
sacred-heart-chakra-singing-bowl,heart-chakra-singing-bowl,1.0,Heart Chakra Singing Bowl,Heart Chakra Singing Bowl
sacred-root-chakra-singing-bowl,root-chakra-singing-bowl,1.0,Root Chakra Singing Bowl,Root Chakra Singing Bowl
sarveda-buddhist-bell,tibetan-buddhist-bell,1.0,Tibetan Buddhist Bell,Tibetan Buddhist Bell
sarveda-crystal-bowls,crystal-bowls,1.0,Crystal Bowls,Crystal Bowls
sarveda-flower-of-life-with-sacred-symbols-singing-bowls,flower-of-life-with-sacred-symbols-singing-bowls,1.0,Flower of Life with Sacred Symbols Singing Bowls,Flower of Life with Sacred Symbols Singing Bowls
sarveda-handcrafted-zen-singing-bowl,vibroacoustic-therapy-bowls-universal-belly-and-head,1.0,"Vibroacoustic Therapy Bowls &#8211; Universal, Belly and Head","Vibroacoustic Therapy Bowls - Universal, Belly and Head"
sarveda-joint-bowl-or-bowl-with-a-hole,joint-bowl-or-knee-cut-bowl,1.0,Joint Bowl or Knee Cut Bowl,Joint Bowl or Knee Cut Bowl
sarveda-lavender-scented-eye-pillows-for-yoga-meditation-and-relaxation-made-with-cotton-filled-with-flaxseed,natural-lavender-scented-eye-pillows,1.0,Natural Lavender Scented Eye Pillows,Natural Lavender Scented Eye Pillows
sarveda-sacred-symbols-singing-bowls,sacred-symbols-singing-bowls,1.0,Sacred Symbols Singing Bowls,Sacred Symbols Singing Bowls
sarveda-tuning-forks,tuning-fork-single-weighted-unweighted,1.0,Tuning Fork &#8211; Single Weighted &#038; Unweighted,Tuning Fork - Single Weighted & Unweighted
sarveda-zabuton-cushion,zabuton-cushion-for-meditation,1.0,Zabuton Cushion for Meditation,Zabuton Cushion for Meditation
sarveda-zafu-cylindrical-meditation-cushion,hi-zafu-meditation-cushion-filled-with-buckwheat,1.0,Hi-Zafu Meditation Cushion &#8211; Filled with Buckwheat,Hi-Zafu Meditation Cushion - Filled with Buckwheat
sarveda-zafu-round,zafu-meditation-cushion-plain-filled-with-cotton,1.0,Zafu Meditation Cushion Plain Filled with Cotton,Zafu Meditation Cushion Plain Filled with Cotton
sarveda-zafu-zabuton-meditation-cushion-combo,zafu-zabuton-meditation-cushion-combo,1.0,Zafu &#038; Zabuton Meditation Cushion Combo,Zafu & Zabuton Meditation Cushion Combo
shamanic-drums,shamanic-drum,1.0,Shamanic Drum,Shamanic Drum
singing-bowl-silk-ring-cushions-accessories,singing-bowls-silk-ring-cushion-accessories,1.0,Singing Bowls Silk Ring Cushion Accessories,Singing Bowls Silk Ring Cushion Accessories
singing-bowl-with-7-chakra-healing-from-sound-therapy,handcrafted-set-of-7-bowls-for-sound-therapy,1.0,Handcrafted Set of 7 Bowls for Sound Therapy,Handcrafted Set of 7 Bowls for Sound Therapy
singing-bowl-with-mantra-rustic-blue-color,singing-bowl-with-mantra-rustic-blue-colour,1.0,Singing Bowl with Mantra &#8211; Rustic Blue Colour,Singing Bowl with Mantra - Rustic Blue Colour
the-beginner-set,the-three-bowl-set-root-heart-and-third-eye,1.0,"The Three Bowl Set &#8211; Root, Heart and Third Eye","The Three Bowl Set - Root, Heart and Third Eye"
the-essential-set,the-four-bowl-set-root-heart-third-eye-and-universal,1.0,"The Four Bowl Set &#8211; Root, Heart, Third Eye and Universal","The Four Bowl Set - Root, Heart, Third Eye and Universal"
thunder-tube,thunder-tube-basic-edition,1.0,Thunder Tube &#8211; Basic Edition,Thunder Tube - Basic Edition
tuning-forks-activators,tuning-fork-activators,1.0,Tuning Fork Activators,Tuning Fork Activators
tuning-forks-extensions,tuning-fork-extensions,1.0,Tuning Fork Extensions,Tuning Fork Extensions
tuning-forks-gem-foot,tuning-forks-gem-feet,1.0,Tuning Forks Gem Feet,Tuning Forks Gem Feet
universal-bowl,handmade-universal-bowl-for-sound-healing,1.0,Handmade Universal Bowl for Sound Healing,Handmade Universal Bowl for Sound Healing
wooden-maracas-shaker,coconut-maracas-shakers,1.0,Coconut Maracas Shakers,Coconut Maracas Shakers
wooden-maracas-shaker-handheld-shaker,wooden-maracas-shakers-plain-dot-painted,1.0,Wooden Maracas Shakers | Plain &#038; Dot Painted,Wooden Maracas Shakers | Plain & Dot Painted
wooden-tambourine-half-moon-2,wooden-tambourines,1.0,Wooden Tambourines,Wooden Tambourines
yoga-blanket,yoga-blanket-made-from-organic-cotton,1.0,Yoga Blanket made from Organic Cotton,Yoga Blanket made from Organic Cotton
yoga-bolster,round-yoga-bolster,1.0,Round Yoga Bolster,Round Yoga Bolster
yoga-strap,yoga-belt-strap-for-sturdy-grip,1.0,Yoga Belt/Strap for Sturdy Grip,Yoga Belt/Strap for Sturdy Grip
zafu-meditation-cushion-with-lotus-embroidery,zafu-meditation-cushion-lotus-embroidery-filled-with-cotton,1.0,Zafu Meditation Cushion Lotus &#8211; Embroidery Filled with Cotton,Zafu Meditation Cushion Lotus - Embroidery Filled with Cotton
zafu-zabuton-meditation-cushion-combo-with-lotus-embroidery,zafu-zabuton-meditation-cushion-combo-lotus-embroidery,1.0,Zafu &#038; Zabuton Meditation Cushion Combo &#8211; Lotus Embroidery,Zafu & Zabuton Meditation Cushion Combo - Lotus Embroidery
